direccion,placa,vigente
TR CARNICERIAS 1,4362,True
CALLE FATIMA 13,4837,True
CALLE CID 12,7101,True
CALLE IGNACIO MONTURIOL 27,7238,False
CALLE LUIS VIVES 45,5710,False
CALLE CRUZ 15,6585,True
CALLE JULIO ROMERO DE TORRES 0,2840,True
CALLE ALCALDE MARTINEZ DE LA OSSA 2,2846,True
CALLE DOCTOR FLEMING 12,7092,True
CALLE CRUZ (ARGAMASON) 11,9523,False
. CAMPOLLANO COMPLEJO INDUSTRIAL (BACARI,8062,True
CALLE DOCTOR BELTRAN MATEOS 6,10394,True
CALLE SAN ADOLFO 4,6519,True
CALLE BAILEN 44,9332,False
CLLON PORTADAS 6,5358,True
CLLON PORTADAS 8,2435,True
CALLE PONTEVEDRA 12,4003,True
CLLON CERVANTES 0,7470,True
PLAZA PERIODISTA ANTONIO ANDUJAR 2,3804,True
CALLE DIEGO DE VELAZQUEZ 13,6197,True
CALLE MARTINEZ VILLENA 12,1093,True
CALLE JORGE JUAN 31,7008,True
AVDA ARTE (EL) 48,10134,False
AVDA ARTE (EL) 50,8623,False
AVDA ARTE (EL) 54,8564,False
CALLE DERECHO (EL) 55,10260,False
CALLE CRUZ 48,5092,True
CALLE BLASCO DE GARAY 72,5835,True
CALLE SAN SEBASTIAN 18,7002,True
CALLE PABLO MEDINA 9,2883,True
CALLE JORGE GUILLEN 21,6053,True
CALLE FRANCISCANOS 18,4100,True
CALLE DOCTOR COLLADO PIÑA 62,1334,True
CALLE BERNABE CANTOS 9,4503,True
CALLE GOMEZ GIL 0,5814,True
CALLE FRANCISCANOS 12,2449,True
CALLE ESPOZ Y MINA 4,776,True
CALLE AMISTAD 4,919,True
CALLE CALATRAVA 57,7025,True
CALLE LEPANTO 21,4418,True
CALLE MARQUES DE VILLORES 114 D,2054,True
CALLE MARQUES DE VILLORES 114 D,7569,True
CALLE LUIS BADIA 74,6625,True
CALLE EJERCITO 25,7586,True
CALLE HERRADORES 5,5379,True
CALLE PEREZ GALDOS 37,2789,True
CALLE BLASCO DE GARAY 0  S/N (JUNTO NUM.,9883,True
CALLE CONCEJAL CASTILLO 6,6245,True
CALLE DOCTOR FLEMING 39,2591,True
CALLE AMISTAD 6,771,False
CALLE LUIS VIVES 7,4530,True
CALLE ABU ZACARIAS 10,9230,True
CALLE BLASCO DE GARAY 62,4735,True
CALLE CLAVILEÑO 3,8618,True
CALLE JOAQUIN QUIJADA 37,3485,True
CALLE RIOS ROSAS 37,623,True
CALLE OCTAVIO CUARTERO 57,547,True
CALLE TORRES QUEVEDO 38,4098,True
CALLE TORRES QUEVEDO 38,1333,True
CALLE LUIS ROSALES 23,9220,True
CALLE LUIS ROSALES 19,644,True
CALLE PEREZ GALDOS 42,3764,True
CALLE PEDRO COCA 29,3264,True
CALLE CONCEJAL CASTILLO 2,10404,True
CALLE RIOS ROSAS 47,6051,True
CALLE FERIA 76,7072,True
CALLE MIGUEL SERVET 8,6960,False
CALLE PEREZ GALDOS 40,5928,True
CALLE PEREZ GALDOS 38,4496,True
CALLE HERRADORES 17,9905,True
CALLE HERRADORES 22,6719,True
AVDA ESPAÑA 43,2962,True
CALLE CRUZ 29,8403,True
CALLE BACHILLER SANSON CARRASCO 8,10561,True
CALLE CARRETERA DE JAEN 8,1911,True
CALLE AMISTAD 1,2240,False
CALLE JORGE GUILLEN 3,8238,True
CALLE LUIS BADIA 43,3619,True
CALLE TORRES QUEVEDO 96,7927,True
CALLE EJERCITO 30,4707,True
CALLE OLMO 0,1815,False
CALLE PEREZ GALDOS 55,5628,True
CALLE OCTAVIO CUARTERO 62,3803,True
CALLE PEREZ GALDOS 48,204,True
CALLE RIOS ROSAS 42,1994,True
CALLE ANTONIO MACHADO 66,3630,True
CALLE HUESCA 36,9885,False
CALLE SIERRA DEL SEGURA 0,9656,False
CALLE VEREDA DE JAEN 24,7222,True
CALLE COLOMBIA 6,2842,False
CALLE CONCORDIA 3,7441,True
CALLE GERONA 25,10575,False
PLAZA CONSTITUCION (LA) 7,6335,True
CALLE ISAAC PERAL 12,2170,True
CALLE ISAAC PERAL 10,4246,True
CALLE IRIS 1,3601,True
CALLE ISAAC PERAL 12,2171,True
CALLE CARCELEN 6,9475,True
CALLE SAN ANTONIO 26,7469,True
CALLE RICARDO CASTRO 15,2143,True
CALLE RICARDO CASTRO 13,717,True
CALLE RICARDO CASTRO 7,6427,True
CALLE SALAMANCA 17,301,True
CALLE MARIA DE ZAYAS 4,8977,True
CALLE SAN AGUSTIN 27,7462,True
CALLE MUNICIPIO DE MOLINICOS 17,9623,True
CALLE CAMPANILLA 16,10537,True
CALLE VIRREY MORCILLO 4,6630,True
AVDA MANCHA (LA) 241,10284,True
PASEO CUBA (LA) 23,9663,True
CALLE JUAN DE TOLEDO 56,6687,False
CALLE NAVAJA 11,9254,True
CALLE CARCELEN 0,8446,True
CALLE CARMEN 27,7421,True
CALLE PUERTA DE MURCIA 3,6738,True
CALLE ORO 25,9212,True
PASEO PEDRO SIMON ABRIL 20,833,True
CALLE RICARDO CASTRO 8,3967,True
PSAJE VENEZUELA 3,573,True
CALLE TEJARES 24,7437,True
AVDA CRONISTA MATEOS Y SOTOS 2 A 2-A,7226,True
CALLE DOCTOR GARCIA REYES 11,7492,True
CALLE PARAGUAY 5,8924,False
CALLE PARAGUAY 5,7029,False
CALLE ALMERIA 71,5590,True
CALLE VIRGEN DE LORETO 3,8802,True
CALLE LUIS BADIA 95,4848,True
AVDA ESPAÑA 45,3950,True
CALLE DIONISIO ACEBAL 20,9267,True
CALLE OCTAVIO CUARTERO 69,7603,True
CALLE VIRGEN DE LORETO 3,8258,False
PASEO CIRCUNVALACION (DE) 59,5428,True
CALLE GOMEZ GIL 1,5554,True
PASEO CIRCUNVALACION (DE) 47,8215,True
CALLE DOCTOR GALIACHO 0,6748,True
CALLE MEJICO 3,10350,False
CALLE MARQUES DE VILLORES 76,5576,True
CALLE MARQUES DE VILLORES 74,,True
CALLE HUESCA 36,10399,False
CALLE VITORIA 0,4925,False
CALLE MURILLO 0,4406,False
CALLE CAMINO DE LA VIRGEN 31,5350,True
CALLE BILBAO 24,2911,False
CALLE MALAGA 28,6191,False
CALLE DOCTOR ALONSO VIDAL 0,8136,False
PLAZA CATEDRAL (LA) 7,4367,True
AVDA GUARDIA CIVIL (ALBACETE) 16,9949,True
CALLE FERNAN PEREZ DE OLIVA 28,10600,True
CALLE ROCINANTE 26,,True
CALLE CRISTOBAL LOZANO 0,6770,True
CALLE IRIS 16,4282,True
CALLE LUIS BADIA 0,8436,True
CALLE LUIS BADIA 0,1212,True
CALLE TORRES QUEVEDO 68,7742,True
CALLE PINOS (LOS) (SANTA ANA) 15,9790,False
CALLE ONESIMO REDONDO (SANTA ANA) 42,,False
CALLE MARQUES DE MOLINS (SANTA ANA) 6,,False
CALLE MARQUES DE MOLINS (SANTA ANA) 8,,False
CALLE MAGALLANES 13,3074,False
CALLE JUAN DE HERRERA 8  8-C,7251,False
PASEO CIRCUNVALACION (DE) 113,1081,True
CALLE CRISTOBAL COLON 32,1077,True
PASEO CIRCUNVALACION (DE) 115,1080,True
CALLE CRISTOBAL COLON 32,6643,True
PSAJE SAN VALENTIN 2,6006,True
CALLE IGNACIO MONTURIOL 1,5771,True
CALLE AMOR DE DIOS 4,211,True
CALLE LUIS VIVES 34,6038,True
CALLE LUIS VIVES 34,10527,False
CALLE IGNACIO MONTURIOL 12,6255,True
CALLE IGNACIO MONTURIOL 12  12-A,7239,True
CALLE DOCTOR COLLADO PIÑA 30,6513,True
CALLE DOCTOR COLLADO PIÑA 34,2461,True
CALLE IBAÑEZ IBERO 1,2308,True
CALLE FERNAN PEREZ DE OLIVA 0  C/V JUAN,7807,True
PLAZA PERIODISTA ANTONIO ANDUJAR 8,4555,True
PLAZA PERIODISTA ANTONIO ANDUJAR 0,3054,True
CALLE FATIMA 33,4769,True
CALLE LUIS VIVES 27,5508,True
CALLE LUIS VIVES 49,535,False
CALLE LUIS VIVES 47,6008,False
CALLE LUIS VIVES 37,7498,True
CALLE JUAN DE TOLEDO 38,5821,True
CALLE LUIS VIVES 24,6692,False
CALLE OBISPO TAGASTE 51,9434,True
CALLE OBISPO TAGASTE 43,4336,False
CALLE VIRGEN DEL ROSARIO (EL SALOBRAL) 1,,False
CALLE OBISPO TAGASTE 45,5992,True
CALLE VELARDE 46,3282,True
CALLE VELARDE 39,7190,True
CALLE CORDOBA 51,7640,False
CALLE NUEVA (ARGAMASON) 24,,False
CALLE CRUZ AL NORTE 0,5543,True
CALLE CRUZ AL NORTE 0,2925,True
CALLE CRUZ AL NORTE 0,3708,True
CALLE CRUZ AL NORTE 0,6535,True
CALLE AGUSTINA DE ARAGON 32,1929,False
AVDA TOREROS (LOS) 25,6750,True
CLLON CERVANTES 3,5020,True
CALLE DERECHO (EL) 53,9519,False
CALLE DERECHO (EL) 51,8671,False
CALLE DERECHO (EL) 47,8610,False
CALLE DERECHO (EL) 45,8542,False
CALLE DERECHO (EL) 41,10087,False
CALLE DERECHO (EL) 39,8927,False
CALLE DERECHO (EL) 37,8929,False
CALLE DERECHO (EL) 31,10050,False
CALLE FILOSOFIA (LA) 3,7279,False
CALLE HISTORIA (LA) 28,10372,False
CALLE HISTORIA (LA) 32,9751,False
CALLE HISTORIA (LA) 36,9707,False
CALLE HISTORIA (LA) 38,9706,False
CALLE HISTORIA (LA) 40,9932,False
CALLE HISTORIA (LA) 42,,False
CALLE HISTORIA (LA) 44,8620,False
CALLE HISTORIA (LA) 46,,False
CALLE HISTORIA (LA) 50,9943,False
CALLE HISTORIA (LA) 54,,False
CALLE HISTORIA (LA) 58,,False
CALLE ARQUITECTO FERNANDEZ 33,7260,True
AVDA GUARDIA CIVIL (ALBACETE) 2,5807,True
CALLE IGNACIO MONTURIOL 0,6194,True
AVDA ARTE (EL) 45,8566,False
AVDA ARTE (EL) 35,8551,False
AVDA ARTE (EL) 33,8706,False
AVDA ARTE (EL) 29,8557,False
CALLE LITERATURA (LA) 9,10193,False
CALLE LITERATURA (LA) 7,,False
CALLE LITERATURA (LA) 5,10170,False
CALLE LITERATURA (LA) 3,10474,False
CALLE MATEMATICAS (LAS) 10,10378,False
CALLE HISTORIA (LA) 64,9710,False
CALLE HISTORIA (LA) 66,8568,False
CALLE HISTORIA (LA) 70,,False
CALLE HISTORIA (LA) 72,,False
CALLE HISTORIA (LA) 74,,False
AVDA ARTE (EL) 71,9995,False
AVDA ARTE (EL) 63,9926,False
AVDA ARTE (EL) 61,9948,False
AVDA ARTE (EL) 58,10233,False
AVDA ARTE (EL) 60,10004,False
AVDA ARTE (EL) 66,10046,False
AVDA ARTE (EL) 70,10010,False
CALLE DERECHO (EL) 69,,False
CALLE DERECHO (EL) 63,10064,False
CALLE DERECHO (EL) 57,10057,False
CALLE QUIMICA (LA) 13,10081,False
CALLE QUIMICA (LA) 11,10044,False
CALLE QUIMICA (LA) 7,10163,False
CALLE QUIMICA (LA) 5,10168,True
CALLE QUIMICA (LA) 1,10026,False
CALLE OCTAVIO CUARTERO 47,7563,True
CALLE RIOS ROSAS 79,7110,True
CALLE POZO 8,7731,True
CALLE TORRES QUEVEDO 42,809,True
CALLE PEREZ GALDOS 53,5515,True
CALLE RIOS ROSAS 47,6021,True
CALLE OCTAVIO CUARTERO 65,613,True
CALLE LUIS ROSALES 0,9508,True
CALLE LUIS ROSALES 18,9781,True
CALLE LUIS ROSALES 14,9465,True
CALLE FRANCISCANOS 18,2231,True
CALLE ANTONIO MACHADO 4,611,True
CALLE MARQUES DE VILLORES 49,610,True
CALLE RIOS ROSAS 46,7004,True
CALLE JORGE GUILLEN 28,6287,True
CALLE JORGE GUILLEN 28,6240,True
CALLE JORGE GUILLEN 26,4959,True
CALLE MAESTRO VARELA 3,3428,True
CALLE JUAN DE HERRERA 7,10337,False
CALLE MAYOR (SANTA ANA) 6,,False
CALLE NUEVA 17,6781,True
CALLE RIOS ROSAS 18,4696,True
CALLE CERVANTES 19,9256,True
CALLE HERMANOS PINZON 4,3295,False
CALLE ANTONIO MACHADO 52,10429,True
CALLE PEDRO COCA 55  BAJO,7716,True
CALLE FERNAN PEREZ DE OLIVA 11,7633,True
CALLE ANTONIO MACHADO 72,2104,True
CALLE ANTONIO MACHADO 72,6280,True
CALLE MARIA MARIN 0,2737,True
CALLE FATIMA 24,375,True
CALLE LERIDA 24,7409,False
CALLE FERROCARRIL 0,3701,False
CALLE EJERCITO 0,5331,True
CALLE HERMANOS FALCO 3,5451,True
CALLE MUÑOZ SECA 0,490,True
CALLE ANTONIO MACHADO 39,,True
CALLE FRANCISCANOS 0,5804,True
CALLE FRANCISCANOS 0,5293,True
CALLE MARZO 27,7020,True
CALLE PARRA 26,186,True
CALLE PARRA 27,4370,True
CALLE ARQUITECTO VANDELVIRA 29,4243,True
CALLE INDUSTRIA 22,4396,True
CALLE ARQUITECTO FERNANDEZ 25,1823,True
CALLE GRANADA 64,1694,False
PLAZA MAESTRO CHUECA 13,3735,False
CALLE JOSE CARBAJAL 14,3048,False
CALLE PIEDRA 2,9427,False
CALLE JOSE CARBAJAL 14,3653,False
CALLE CARRETERA DE VALENCIA 18,4712,True
CALLE RAMON CASAS 0,3244,False
CALLE RAMON CASAS 21 1,9227,False
CALLE JOSE CARBAJAL 0,2320,False
CALLE PIEDRA 0,9284,False
CALLE FRANCISCO PIZARRO 18,6023,True
CALLE DOCTOR GALIACHO 2,7259,True
CALLE JUAN SEBASTIAN ELCANO 48,1789,True
CALLE JUAN SEBASTIAN ELCANO 38,4698,True
CALLE RAIMUNDO LULIO 11,1709,True
CALLE CALATRAVA 42,2804,False
CALLE HERMANOS QUINTERO 26,6759,True
PSAJE HERMANDAD 1,5597,True
CALLE SANTA GEMA 10,2866,False
CALLE GALLO 4,7923,False
CALLE FERNANDO POO 12,6343,False
CALLE AMISTAD 3,2958,False
CALLE PROFESOR MACEDONIO JIMENEZ 15,7154,True
CALLE CIUDAD REAL 2,2409,True
CALLE TORRES QUEVEDO 41,7111,True
CALLE MARIA MARIN 47,110,True
CALLE TORRES QUEVEDO 74,6174,True
AVDA ESTACION 1 -,8266,True
CALLE IGNACIO MONTURIOL 2,6435,True
CALLE MARIANA PINEDA 5,5193,True
CALLE PEDRO COCA 62,517,True
CALLE DOCTOR COLLADO PIÑA 42,5960,True
CALLE CARRASCALES 8,1558,False
CALLE MARTINEZ IBAÑEZ 1,6957,True
CALLE LUIS VIVES 45,7201,False
CALLE IGNACIO MONTURIOL 27,7363,True
CALLE IGNACIO MONTURIOL 16,866,True
CALLE VICENTE ALEIXANDRE 0,2828,True
CALLE GRANADA 14,4096,False
AVDA TOREROS (LOS) 13,3989,True
CALLE QUEVEDO 27,8800,False
CLLON CERVANTES 19,6138,True
CALLE POETA GARCIA CARBONELL 8,10397,False
CALLE PALENCIA 0  S/N,7709,True
CALLE DOCTOR ALONSO VIDAL 0,6064,False
CALLE PADRE ROMANO 34,6689,True
CALLE MARIANA PINEDA 19,2150,True
CLLON CERVANTES 0,9321,True
CALLE LEON 14,9703,True
PLAZA PUENTE DE MADERA 0,10077,False
CALLE LOZANO 3,8170,True
CALLE LOZANO 21,8939,True
CALLE LOZANO 3,8084,True
CLLON CERVANTES 44,7623,True
CALLE CRUZ 31,5479,True
CALLE LUIS BADIA 0,1899,True
CALLE SAN ILDEFONSO 0,5204,True
CALLE CRUZ 25,4506,True
CALLE CERVANTES 40,9921,True
CALLE RAMON CASAS 20,5896,True
CALLE CRUZ 27,4996,True
CALLE CRUZ 4,1990,True
CALLE CERVANTES 26,10531,True
CALLE CRUZ 0,5146,True
CALLE CERVANTES 20,3822,True
CALLE CERVANTES 19,9486,True
CALLE CERVANTES 19,6273,True
CALLE ZARAGOZA 1,4034,False
CALLE LERIDA 22,8885,False
CALLE IRIS 38,4049,True
CALLE ANTONIO GOTOR 0,2973,True
CALLE MIGUEL SERVET 3,9384,False
CALLE VELARDE 13,3560,True
CALLE PADRE ROMANO 0,5718,True
CALLE RAIMUNDO LULIO 1,4180,True
CALLE PADRE PASCUAL SUAREZ 24,10486,True
AVDA GUARDIA CIVIL (ALBACETE) 40,3002,True
PSAJE SAN VALENTIN 3,8490,True
AVDA RAMON Y CAJAL 4,4213,True
CALLE ANTONIO CUEVAS BELMONTE 11,4445,True
CALLE PADRE ROMANO 34,10756,True
CALLE ORENSE 20,2237,True
CALLE PONTEVEDRA 7 9,685,True
CALLE PONTEVEDRA 19,3882,False
CALLE CAMINO DE LA VIRGEN 6,5329,True
CALLE LOPE DE VEGA 44,1201,False
CALLE ORENSE 20,2621,True
CALLE ORENSE 13,692,True
CALLE DOCTOR FLEMING 56,3648,True
CALLE VIRREY MORCILLO 2 A,7566,True
CALLE CAPITAN GRANT 10,7335,True
CALLE ORENSE 23,9116,False
CALLE LOPE DE VEGA 53,7043,True
CALLE MAESTRO CHAPI 1,1960,True
CALLE TARRASA 3,1746,True
CALLE MANUEL DE FALLA 14,716,False
CALLE CORUÑA 4,3993,False
CALLE ORENSE 18,1951,True
CALLE DOCTOR FLEMING 48,3697,True
CALLE AGUSTINA DE ARAGON 21,9518,False
CALLE ORENSE 22,5190,True
CALLE CAMINO DE LA VIRGEN 16,6246,False
CALLE LOPE DE VEGA 36,1649,True
CALLE HUERTAS 5,10215,True
CALLE LUGO 25,8401,True
CALLE MURILLO 41,6953,True
CALLE DOCTOR COLLADO PIÑA 38,1009,True
CALLE CAMILO GAUDE 0,1688,False
CALLE VALDEGANGA 11,6275,True
CALLE VALDEGANGA 0,9335,True
CALLE MAESTRO VARELA 11,3260,False
CALLE ORENSE 25,10615,True
CALLE EBRO 0,7258,True
CALLE GERONA 25,6201,False
CALLE SAN BLAS (ABUZADERAS) 0,,False
CALLE MIGUEL LOPEZ DE LEGAZPI 15,3493,True
CALLE OLMO 12,3664,False
PLAZA PROPIEDAD (LA) (CERRO LOBO) 0,,False
PLAZA PARRAS (LAS) (CERRO LOBO) 0,,False
CALLE ALAMO 23,9854,False
CALLE ALAMO 23,7028,False
CALLE VEREDA DE JAEN 26,7106,True
CALLE PORTUGAL 6,4536,True
CALLE LOGROÑO 4,7313,True
CALLE FEDERICO GARCIA LORCA 0,9410,True
CALLE PEREZ GALDOS 33,2832,True
CALLE JORGE GUILLEN 0,1322,True
CALLE FRANCISCANOS 0,4571,True
CALLE GABRIEL CISCAR 2,5596,True
CALLE PEREZ GALDOS 38,4830,True
CALLE PEDRO COCA 39,,True
CALLE LERIDA 6,4480,False
CALLE JORGE GUILLEN 0,1031,True
CALLE PEREZ GALDOS 41,1142,True
CALLE JORGE GUILLEN 26,1451,True
CALLE LUIS ROSALES 3,1922,True
CALLE JORGE GUILLEN 15,10822,True
CALLE ANTONIO MACHADO 40,248,True
CALLE BERNABE CANTOS 36,1034,True
CALLE PADRE ROMANO 0,7180,True
CALLE ARBOLEDA 39,7628,True
CALLE ARBOLEDA 37,7627,True
CALLE SAN PABLO 30,6980,True
CALLE DOCTOR COLLADO PIÑA 70,239,True
CALLE TORRES QUEVEDO 63,1167,True
CALLE BLASCO DE GARAY 31,7718,True
CALLE FRANCISCANOS 55,1277,True
CALLE MARIA MARIN 33,7914,True
CALLE DOCTOR COLLADO PIÑA 83,10545,True
CALLE GOMEZ GIL 12,1876,True
CALLE LOPE DE VEGA 59,7242,True
CALLE TORRES QUEVEDO 43,2323,True
CALLE DOCTOR COLLADO PIÑA 63,1203,True
CALLE JUAN DE HERRERA 8 A 8-A,7434,False
CALLE MANUEL DE FALLA 37,5279,False
CALLE BLANCANIEVES 16,10469,False
CALLE HERMANOS PINZON 1,7364,True
CALLE LOPE DE VEGA 62,1363,True
CALLE HERMANOS PINZON 19,9171,True
CALLE HERMANOS PINZON 28,3880,False
CALLE HERMANOS PINZON 28,3879,False
CALLE CALATRAVA 14,3480,False
CALLE MIGUEL SERVET 51,6314,False
CALLE CALATRAVA 24,2024,False
CALLE CALATRAVA 22,5570,False
CALLE MIGUEL SERVET 0,5271,False
CALLE CALATRAVA 32,1271,False
CALLE AGUSTINA DE ARAGON 3,8191,False
CALLE MIGUEL SERVET 41,4872,False
CALLE JOSE ECHEGARAY 1,6773,True
CALLE MIGUEL SERVET 39,7542,True
CALLE JOSE ECHEGARAY 33,9181,False
CALLE HERMANOS PINZON 4,8364,False
CALLE CARMEN 0,5122,True
CALLE CARMEN 0,5102,True
PASEO CUBA (LA) 16,9315,True
CALLE LUIS VIVES 10,2185,False
CALLE LUIS VIVES 10,2186,False
CALLE ALICANTE 3,6158,True
CALLE LUIS VIVES 15,6050,False
CALLE JULIO ROMERO DE TORRES 0,2876,True
TRVA PALENCIA-GUADALAJARA 0,9225,True
CALLE CALDERON DE LA BARCA 40,6613,True
TRVA PALENCIA-GUADALAJARA 0,9207,False
TRVA PALENCIA-GUADALAJARA 0,9211,False
CALLE GUADALAJARA 0  TRAVESIA-PALENCIA,9222,False
CALLE MARIA MARIN 65,2757,True
CALLE MARIA MARIN 65,6881,True
CALLE CALDERON DE LA BARCA 40,6352,True
CALLE GUADALAJARA 6,5292,True
CALLE BONIFACIO SOTOS OCHANDO 5,6974,False
CALLE ELCHE DE LA SIERRA 11,8988,False
CALLE VALDEGANGA 0,6095,False
CALLE PALENCIA 12,6491,False
CALLE DOCTOR ALONSO VIDAL 6,6090,True
CALLE DOCTOR ALONSO VIDAL 6,6490,False
CALLE VALDEGANGA 0,6422,False
CALLE DOCTOR ALONSO VIDAL 0,7145,False
CALLE ALONSO CANO 4,8345,True
CALLE PUERTA DE MURCIA 12,9133,True
CALLE CALATRAVA 66,8002,False
CALLE DOCTOR ALONSO VIDAL 0,6070,False
CALLE VELARDE 10,4033,True
AVDA CRONISTA MATEOS Y SOTOS 30,10249,False
CALLE GABRIEL CISCAR 38,6338,True
CALLE NUESTRA SEÑORA DE CUBAS 5,5660,False
CALLE RIOS ROSAS 48,5438,True
CALLE NUESTRA SEÑORA DE CUBAS 9,6648,False
CALLE CORNEJO 31,7476,True
CALLE SANTIAGO 3,2669,False
CALLE ORENSE 14,1270,True
AVDA ARQUITECTO JULIO CARRILERO 43,3141,True
CALLE NUESTRA SEÑORA DE MONTSERRAT 13,4738,False
PLAZA MAESTRO CHUECA 8,7745,False
CALLE LUIS BADIA 68,2736,True
AVDA ARQUITECTO JULIO CARRILERO 37,6252,True
CALLE CAMINO DE LA VIRGEN 16,6235,False
CALLE TARRASA 3,5851,False
CALLE JUAN SEBASTIAN ELCANO 53,4069,True
CALLE ALEGRIA 5,1577,True
CALLE JUAN SEBASTIAN ELCANO 55,2686,True
CALLE CAMINO DE LA VIRGEN 14,5031,True
CALLE JUAN SEBASTIAN ELCANO 53,4081,True
CALLE FERNAN PEREZ DE OLIVA 22,1200,False
CALLE GRANADA 46 A,4655,True
CALLE ALEGRIA 10,1121,True
PLAZA ALTOZANO 0,4354,True
CALLE GENERAL MENDEZ PARADA 0,4630,False
CALLE OCTAVIO CUARTERO 66,5344,True
CALLE ANTONIO MACHADO 15,3790,True
CALLE BERNABE CANTOS 3,154,True
CALLE BLASCO DE GARAY 20,3627,True
CALLE CONCEJAL CASTILLO 8,9043,True
CALLE CONCEJAL CASTILLO 8,6069,True
CALLE MIGUEL LOPEZ DE LEGAZPI 2,6728,True
CALLE ALCALDE JOSE MARIA DE MIGUEL 0,2845,True
CALLE FATIMA 19,4015,True
CALLE LUIS VIVES 6,2395,True
CALLE MATEMATICAS (LAS) 7,9939,False
CALLE ANTONIO CUEVAS BELMONTE 14,5003,False
CALLE CRUZ AL NORTE 14,,True
CALLE PEREZ GALDOS 0,1852,True
CALLE BLASCO DE GARAY 52,6320,True
CALLE DOCTOR FERRAN 88,661,True
CALLE FERIA 85,702,True
CALLE ORENSE 19,2255,False
CALLE LUGO 44,4978,True
CALLE MURILLO 44,4935,False
CALLE MURILLO 44,4684,False
CALLE CLARA CAMPOAMOR 18,8647,False
CALLE MURILLO 44,4685,False
CALLE CAMINO DE LA VIRGEN 17,8045,False
CALLE AGUSTINA AROCA 4,7866,False
CALLE CARRETERA DE JAEN 15,6933,True
CALLE BADAJOZ 45,9052,False
CALLE HUESCA 5,5915,False
CALLE PONTEVEDRA 3,6605,False
CALLE PONTEVEDRA 3,3907,True
CALLE PONTEVEDRA 3,2199,False
CALLE CARRETERA DE JAEN 96,7519,True
CALLE PARRA 5,6541,True
CALLE LOPE DE VEGA 31,4232,False
CALLE REUS 28,9526,False
CALLE HELLIN 31,4614,True
CALLE MANUEL DE FALLA 10,2412,False
CALLE LOPE DE VEGA 38,6346,True
CALLE VISTABELLA 6,6859,True
CALLE MARZO 55,2402,True
CALLE MARZO 64,5414,True
CALLE MARZO 55,4927,True
CALLE JOSE ECHEGARAY 27,7218,False
CALLE ORO 31,8265,True
CALLE JOSE CARBAJAL 18,7015,True
CALLE ANDORRA 2,8335,True
PLAZA MAYOR (SALOBRAL (EL)) 3,,False
CALLE HERMANOS FALCO 4,5253,True
CALLE GOMEZ GIL 1,9184,True
CALLE GOMEZ GIL 1,5750,True
CALLE LUIS BADIA 32,5611,True
CALLE BAÑOS 36,7174,True
CALLE TORRES QUEVEDO 41,1243,True
CALLE TORRES QUEVEDO 43,2629,True
CALLE FEDERICO GARCIA LORCA 40,8656,False
CALLE PUERTA DE MURCIA 0,5629,True
CALLE CARRETERA DE VALENCIA 6,1930,True
CALLE PUERTA DE MURCIA 0,5325,True
CALLE CARRETERA DE VALENCIA 19,5738,True
CALLE CARRETERA DE VALENCIA 21,6564,True
CALLE POZO DE LA NIEVE 5,8319,True
CALLE BATALLA DEL SALADO 26,6837,True
CALLE BATALLA DEL SALADO 22,6457,True
CALLE BATALLA DEL SALADO 0,6986,True
CALLE BATALLA DEL SALADO 0,6985,True
CALLE NUESTRA SEÑORA LAS MERCEDES 11,4808,False
CALLE HERMANOS FALCO 12,3854,True
CALLE POZO DE LA NIEVE 12,10728,True
CALLE ALARCON 17,5056,True
CALLE TOBARRA 3,3845,True
CALLE POZO DE LA NIEVE 0,9655,True
CALLE ESCRITOR BEN NASSIR 33,6667,False
CALLE ALARCON 0,4523,True
CALLE HERMANOS FALCO 14,5185,True
CALLE BAILEN 43,3888,False
CALLE FRANCISCO PIZARRO 30,622,True
CALLE CORNEJO 26,9632,True
CALLE FEDERICA MONTSENY 0,10222,True
CALLE NUESTRA SEÑORA DE CUBAS 11,3747,False
CALLE GABRIEL CISCAR 0  S/N,10721,False
CALLE FERNAN PEREZ DE OLIVA 12,6234,True
CALLE RIOS ROSAS 101,3171,True
CALLE LERIDA 48,7344,True
CALLE RODA (LA) 45,4845,True
CALLE ROA EROSTARBE 5,1037,False
CALLE BARCELONA 0,7193,False
PLAZA MAESTRO CHUECA 6,3297,True
CALLE CHURRUCA 5,7267,True
CALLE SALAMANCA 0,2372,True
CALLE RIOS ROSAS 26,6351,True
CALLE RIOS ROSAS 26,440,True
CALLE MIGUEL SERVET 21,2581,False
CALLE MIGUEL SERVET 25,6565,False
CALLE JOSE ECHEGARAY 10,9669,True
CALLE JOSE ECHEGARAY 10,9652,True
CALLE MIGUEL SERVET 36,5573,False
CALLE ALMERIA 37,8126,False
CALLE CALATRAVA 40,8024,False
CALLE CORDOBA 67,5156,False
CALLE COLOMBIA 2,1651,False
CALLE MIGUEL SERVET 22,7401,True
CALLE MIGUEL SERVET 57,7535,False
CALLE MIGUEL SERVET 25,6247,True
CALLE MIGUEL SERVET 17,9124,True
CALLE FRANCISCO JAVIER DE MOYA 6,7546,True
CALLE BAILEN 17,3881,False
CALLE MIGUEL SERVET 21,2509,False
CALLE CONCORDIA 1,711,False
CALLE HERMANOS PINZON 7,2575,False
CALLE AGUSTINA DE ARAGON 14,6674,False
CALLE MIGUEL SERVET 0,4392,False
CALLE BAILEN 12,1482,False
