direccion,placa,vigente
CALLE GABRIEL CISCAR 7,9377,False
CALLE GABRIEL CISCAR 1,5958,False
AVDA RAMON Y CAJAL 1,5957,True
PSAJE FIRMAS 13,9209,True
CALLE ROSARIO 4,5849,True
CALLE AGUSTINA DE ARAGON 2,4267,True
CALLE SALAMANCA 7,2681,True
CALLE LOZANO 37,9025,True
CALLE SALAMANCA 5,7038,True
CALLE LUIS BADIA 28,4236,True
CALLE MAGALLANES 13,3075,False
CALLE GABRIEL CISCAR 21,2953,True
CALLE HUERTA DE MARZO 0,6952,True
CALLE GOMEZ GIL 7,10755,True
CALLE FRANCISCANOS 34,,True
CALLE FRANCISCANOS 18,2228,True
CALLE GOMEZ GIL 37,8105,True
PLAZA CASTILLA LA MANCHA (ARGAMASON) 1,7255,False
CALLE SAN ISIDRO (ARGAMASON) 2,,False
CALLE ALBACETE (ARGAMASON) 6,,False
CALLE LOPE DE VEGA 12,5301,True
CALLE NUEVA (ANGUIJES (LOS)) 32,,False
CALLE LOPE DE VEGA 57,3423,False
AVDA TOREROS (LOS) 41,6942,True
AVDA TOREROS (LOS) 39,1614,True
CALLE JOAQUIN SANCHEZ JIMENEZ 6,3797,False
AVDA TOREROS (LOS) 31,9328,True
CALLE RODA (LA) 13,3497,True
CALLE HUESCA 18,4358,True
CALLE AGUSTINA DE ARAGON 1,9088,True
CALLE MIGUEL SERVET 5,9701,False
CALLE CORDOBA 12,6482,False
CALLE HERMANOS PINZON 2,6873,True
CALLE AGUILA 34,166,False
CALLE AGUILA 30,256,False
CALLE AGUILA 30,4083,False
CALLE AGUILA 27,700,False
CALLE VELARDE 47,10000,True
CALLE BAILEN 53,4930,False
CALLE AGUILA 0,658,False
CALLE QUEVEDO 37,5731,True
CALLE TEJEDORAS 20,10253,True
CALLE ANTONIO CUEVAS BELMONTE 14,1054,False
CALLE CURA (EL) 7,1791,True
CALLE CUCHILLEROS 12,5767,True
CALLE CRISTOBAL PEREZ PASTOR 98,6787,True
CALLE SAN JULIAN 4,9797,True
PLAZA SAN JUAN DE DIOS 2,3354,True
CALLE ROSARIO 25,9704,True
CALLE CABA 21,4470,True
CALLE RIOS ROSAS 76,2067,True
CALLE GOMEZ GIL 0,1885,True
CALLE RIOS ROSAS 78,3834,True
CALLE RIOS ROSAS 78,5926,True
CALLE RIOS ROSAS 80,3416,True
CALLE LUIS BADIA 0,1263,True
CALLE LUIS VIVES 33,5872,True
CALLE ARQUITECTO VANDELVIRA 62,192,True
CALLE CONCEJAL CASTILLO 0,1174,True
CALLE RIOS ROSAS 84,10094,True
CALLE JOAQUIN QUIJADA 37,3409,True
CALLE BERNABE CANTOS 70,10112,True
CALLE SAN SEBASTIAN 20,6358,True
CALLE PALMAS DE GRAN CANARIA (LAS) 30,8137,False
CALLE FRANCISCANOS 0,4764,True
CALLE FRANCISCANOS 0,4346,True
CALLE CONCEJAL PRIETO ROJAS 4,2945,True
CALLE SANTO DOMINGO DE GUZMAN 10,4373,True
CALLE LOZANO 37,10375,True
CALLE PUERTA DE VALENCIA 17,8065,True
CALLE ARQUITECTO VANDELVIRA 64,2113,True
CALLE DOCTOR COLLADO PIÑA 62,1341,True
CALLE ANGEL 8,6004,True
CALLE ANGEL 8,6085,True
CALLE CARRETERA DE VALENCIA 24,5059,True
PLAZA MIGUEL ANGEL BLANCO 20,7023,True
CALLE DOCTOR FLEMING 36,6132,True
AVDA ISABEL LA CATOLICA 2,4556,True
CALLE FRANCISCO PIZARRO 5,4065,True
CALLE MURILLO 42,4641,False
CALLE PADRE ROMANO 51,9027,True
CALLE HELLIN 9,3717,True
CALLE FRANCISCANOS 20,1829,True
CALLE BERNABE CANTOS 42,7464,True
CALLE ARBOLEDA 1 B,8537,False
CALLE ALONSO CANO 10,7821,True
CALLE CARDENAL CISNEROS 1,356,True
CALLE LETUR 0,9976,True
CALLE DOCTOR FLEMING 23,6301,True
CALLE PEDRO COCA 23,7286,True
CALLE HERMANOS PINZON 20,8767,False
CALLE MARQUES DE VILLORES 84,816,True
CALLE DOCTOR FLEMING 30,4078,True
CALLE FRANCISCANOS 29,2878,True
CALLE MURILLO 42,3157,False
CALLE ARQUITECTO VANDELVIRA 76,1005,True
CALLE SAN LUIS 11,2977,True
CALLE FRANCISCANOS 43,8130,True
CALLE ANTONIO MACHADO 13,4410,True
CALLE DOCTOR BONILLA 6,10041,True
CALLE ROSARIO 101,5719,True
CALLE LUIS BADIA 0,7719,True
CALLE ROSARIO 101,5704,True
CALLE ROSARIO 99,6281,True
CALLE PEREZ GALDOS 34,5864,True
CALLE SANTA QUITERIA 9,1943,True
CALLE DOCTOR BONILLA 17,9277,True
CALLE PORTUGAL 10,7125,True
CALLE DAOIZ 17,5551,False
CLLON PORTADAS 7,7819,True
CALLE GALLO 24,5999,False
CALLE MARIANA PINEDA 12,6295,True
CALLE MURILLO 29,1755,True
CALLE JOAQUIN QUIJADA 41,5302,True
CALLE CALATAYUD 5,7591,True
CALLE TEJARES 5,2256,True
CALLE SAN CRISTOBAL 14,2747,False
CALLE SAN CRISTOBAL 6,,False
CALLE CONCEPCION ARENAL 12,7485,False
CALLE SEGOVIA 47,3592,False
CALLE SEGOVIA 4,2262,True
CALLE CONCEJAL CASTILLO 15,10787,True
CALLE GRANADA 0,2264,True
CALLE ESCRITOR CAMILO JOSE CELA 1,6344,True
CALLE CIUDAD DE RECONQUISTA 2,7585,True
CALLE CORUÑA 5,4066,False
CALLE PEDRO COCA 62,728,True
CALLE PEDRO COCA 62,729,True
PSAJE BUEN SUCESO 0,9235,False
CALLE HERRADORES 9,10114,True
CALLE TORRES QUEVEDO 66,9633,True
CALLE CHILE 10,9113,True
CALLE YESTE 2,7022,True
CALLE TOBA 18,9511,False
CALLE MONTESA 19,9598,False
CALLE LEPANTO 61,5330,True
CALLE TORRES QUEVEDO 64,473,True
CALLE INDIRA GANDHI 0,7478,True
CALLE ACANTILADO 5,9510,True
CALLE AGUSTINA AROCA 2,7225,True
CALLE AGOSTO 0,9451,False
CALLE TORRES QUEVEDO 47,5616,True
CALLE CRISTOBAL LOZANO 0,7367,True
CALLE HISTORIA (LA) 48,,False
CALLE FILIPINAS 18,3038,True
CALLE MUÑOZ SECA 8,3019,True
CALLE FRANCISCO JAVIER DE MOYA 64,5246,True
CALLE CRISTOBAL LOZANO 4,560,True
CALLE CRISTOBAL LOZANO 4,561,True
CALLE TEJARES 90,520,True
CALLE BONIFACIO SOTOS OCHANDO 0,1702,False
CALLE ANGEL 18,7148,True
CALLE MARQUES DE VILLORES 122,,True
CALLE ROSARIO 86,417,True
CALLE CRISTOBAL LOZANO 4,,True
CALLE ELISA PIQUERAS LOZANO 1,9003,False
CALLE JUAN DE HERRERA 2,6710,True
CALLE DOCTOR COLLADO PIÑA 44,9241,True
CALLE NUESTRA SEÑORA DE LA PAZ 0,2266,True
CALLE FRANCISCANOS 0,805,True
CALLE SAN ANTONIO DE LA BARQUERA 7,2355,True
CALLE CRUZ 47,7602,True
CALLE LUIS VIVES 51,9189,True
CALLE CRISTOBAL COLON 4,10461,True
CALLE BATALLA DEL SALADO 15,2090,True
CALLE DOCTOR BRAILLE 0,7071,True
CALLE FRANCISCO JAVIER DE MOYA 72,4659,True
CALLE YESTE 13,6726,True
CALLE TEJARES 65,6922,True
CALLE CALATRAVA 59,3203,False
CALLE FRANCISCO JAVIER DE MOYA 72,3961,True
CALLE EJERCITO 3,4454,True
CALLE FRANCISCO JAVIER DE MOYA 72,5035,True
AVDA GREGORIO ARCOS 24,9166,True
CALLE AGUSTINA DE ARAGON 44,6586,False
CALLE CARRETERA DE JAEN 100,6983,True
CALLE ARQUITECTURA 13,10311,False
CALLE LITERATURA (LA) 26,9196,False
CALLE ANGEL 22,8491,True
CALLE MUÑOZ SECA 0,2002,True
